period,horizon_months,cohort,dimension,assignment_source,arm,n_observations,n_areas,n_countries,n_positive_truth,prevalence,predicted_positives,tp,fp,fn,tn,f1,precision,recall,f1_reason,precision_reason,recall_reason
partial_2026,3,E_persist,assignment_provenance,learned,partitioned_rf,1829,1608,27,1046,0.5718972115910333,725,511,214,535,569,0.5770750988142292,0.7048275862068966,0.48852772466539196,,,
partial_2026,3,E_persist,assignment_provenance,learned,pooled_rf,1829,1608,27,1046,0.5718972115910333,795,579,216,467,567,0.6290059750135796,0.7283018867924528,0.5535372848948374,,,
partial_2026,3,E_persist,assignment_provenance,learned,xgb,1829,1608,27,1046,0.5718972115910333,978,741,237,305,546,0.7322134387351779,0.7576687116564417,0.7084130019120459,,,
partial_2026,3,E_persist,assignment_provenance,learned,persistence,1829,1608,27,1046,0.5718972115910333,933,659,274,387,509,0.6659929257200606,0.7063236870310825,0.630019120458891,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1874,1721,27,761,0.40608324439701177,563,377,186,384,927,0.5694864048338368,0.6696269982238011,0.49540078843626806,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,pooled_rf,1874,1721,27,761,0.40608324439701177,569,368,201,393,912,0.5533834586466165,0.6467486818980668,0.4835742444152431,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,xgb,1874,1721,27,761,0.40608324439701177,656,437,219,324,894,0.6167960479887086,0.6661585365853658,0.5742444152431012,,,
partial_2026,3,E_persist,assignment_provenance,nearest_donor,persistence,1874,1721,27,761,0.40608324439701177,690,365,325,396,788,0.5031013094417643,0.5289855072463768,0.47963206307490147,,,
partial_2026,3,E_persist,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,114,77,37,36,236,0.6784140969162996,0.6754385964912281,0.6814159292035398,,,
partial_2026,3,E_persist,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,114,77,37,36,236,0.6784140969162996,0.6754385964912281,0.6814159292035398,,,
partial_2026,3,E_persist,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,155,94,61,19,212,0.7014925373134329,0.6064516129032258,0.831858407079646,,,
partial_2026,3,E_persist,assignment_provenance,unresolved,persistence,386,378,14,113,0.2927461139896373,156,87,69,26,204,0.6468401486988847,0.5576923076923077,0.7699115044247787,,,
partial_2026,6,E_all,assignment_provenance,learned,partitioned_rf,1829,1608,27,1046,0.5718972115910333,962,654,308,392,475,0.651394422310757,0.6798336798336798,0.6252390057361377,,,
partial_2026,6,E_all,assignment_provenance,learned,pooled_rf,1829,1608,27,1046,0.5718972115910333,1258,865,393,181,390,0.7508680555555556,0.6875993640699523,0.8269598470363289,,,
partial_2026,6,E_all,assignment_provenance,learned,xgb,1829,1608,27,1046,0.5718972115910333,1216,879,337,167,446,0.7771883289124668,0.7228618421052632,0.8403441682600382,,,
partial_2026,6,E_all,assignment_provenance,nearest_donor,partitioned_rf,1877,1724,27,764,0.4070324986680874,731,434,297,330,816,0.5806020066889632,0.5937072503419972,0.5680628272251309,,,
partial_2026,6,E_all,assignment_provenance,nearest_donor,pooled_rf,1877,1724,27,764,0.4070324986680874,958,554,404,210,709,0.6434378629500581,0.5782881002087683,0.725130890052356,,,
partial_2026,6,E_all,assignment_provenance,nearest_donor,xgb,1877,1724,27,764,0.4070324986680874,913,572,341,192,772,0.6821705426356589,0.6265060240963856,0.7486910994764397,,,
partial_2026,6,E_all,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,150,85,65,28,208,0.6463878326996197,0.5666666666666667,0.7522123893805309,,,
partial_2026,6,E_all,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,150,85,65,28,208,0.6463878326996197,0.5666666666666667,0.7522123893805309,,,
partial_2026,6,E_all,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,146,89,57,24,216,0.6872586872586872,0.6095890410958904,0.7876106194690266,,,
partial_2026,6,E_persist,assignment_provenance,learned,partitioned_rf,1829,1608,27,1046,0.5718972115910333,962,654,308,392,475,0.651394422310757,0.6798336798336798,0.6252390057361377,,,
partial_2026,6,E_persist,assignment_provenance,learned,pooled_rf,1829,1608,27,1046,0.5718972115910333,1258,865,393,181,390,0.7508680555555556,0.6875993640699523,0.8269598470363289,,,
partial_2026,6,E_persist,assignment_provenance,learned,xgb,1829,1608,27,1046,0.5718972115910333,1216,879,337,167,446,0.7771883289124668,0.7228618421052632,0.8403441682600382,,,
partial_2026,6,E_persist,assignment_provenance,learned,persistence,1829,1608,27,1046,0.5718972115910333,1015,731,284,315,499,0.7093643862202814,0.7201970443349753,0.6988527724665392,,,
partial_2026,6,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1874,1721,27,761,0.40608324439701177,730,433,297,328,816,0.5808182427900738,0.5931506849315068,0.568988173455979,,,
partial_2026,6,E_persist,assignment_provenance,nearest_donor,pooled_rf,1874,1721,27,761,0.40608324439701177,956,552,404,209,709,0.6429819452533488,0.5774058577405857,0.7253613666228647,,,
partial_2026,6,E_persist,assignment_provenance,nearest_donor,xgb,1874,1721,27,761,0.40608324439701177,910,569,341,192,772,0.6810293237582286,0.6252747252747253,0.7477003942181341,,,
partial_2026,6,E_persist,assignment_provenance,nearest_donor,persistence,1874,1721,27,761,0.40608324439701177,735,407,328,354,785,0.5441176470588235,0.5537414965986395,0.5348226018396847,,,
partial_2026,6,E_persist,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,150,85,65,28,208,0.6463878326996197,0.5666666666666667,0.7522123893805309,,,
partial_2026,6,E_persist,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,150,85,65,28,208,0.6463878326996197,0.5666666666666667,0.7522123893805309,,,
partial_2026,6,E_persist,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,146,89,57,24,216,0.6872586872586872,0.6095890410958904,0.7876106194690266,,,
partial_2026,6,E_persist,assignment_provenance,unresolved,persistence,386,378,14,113,0.2927461139896373,156,87,69,26,204,0.6468401486988847,0.5576923076923077,0.7699115044247787,,,
partial_2026,12,E_all,assignment_provenance,learned,partitioned_rf,1829,1608,27,1046,0.5718972115910333,1049,741,308,305,475,0.7073985680190931,0.7063870352716873,0.7084130019120459,,,
partial_2026,12,E_all,assignment_provenance,learned,pooled_rf,1829,1608,27,1046,0.5718972115910333,976,732,244,314,539,0.7240356083086054,0.75,0.6998087954110899,,,
partial_2026,12,E_all,assignment_provenance,learned,xgb,1829,1608,27,1046,0.5718972115910333,1043,750,293,296,490,0.7180469123982767,0.7190795781399808,0.7170172084130019,,,
partial_2026,12,E_all,assignment_provenance,nearest_donor,partitioned_rf,1877,1724,27,764,0.4070324986680874,739,481,258,283,855,0.6400532268795742,0.6508795669824087,0.6295811518324608,,,
partial_2026,12,E_all,assignment_provenance,nearest_donor,pooled_rf,1877,1724,27,764,0.4070324986680874,694,472,222,292,891,0.6474622770919067,0.6801152737752162,0.6178010471204188,,,
partial_2026,12,E_all,assignment_provenance,nearest_donor,xgb,1877,1724,27,764,0.4070324986680874,744,476,268,288,845,0.6312997347480106,0.6397849462365591,0.6230366492146597,,,
partial_2026,12,E_all,assignment_provenance,unresolved,partitioned_rf,386,378,14,113,0.2927461139896373,151,92,59,21,214,0.696969696969697,0.609271523178808,0.8141592920353983,,,
partial_2026,12,E_all,assignment_provenance,unresolved,pooled_rf,386,378,14,113,0.2927461139896373,151,92,59,21,214,0.696969696969697,0.609271523178808,0.8141592920353983,,,
partial_2026,12,E_all,assignment_provenance,unresolved,xgb,386,378,14,113,0.2927461139896373,168,96,72,17,201,0.6832740213523132,0.5714285714285714,0.8495575221238938,,,
partial_2026,12,E_persist,assignment_provenance,learned,partitioned_rf,1829,1608,27,1046,0.5718972115910333,1049,741,308,305,475,0.7073985680190931,0.7063870352716873,0.7084130019120459,,,
partial_2026,12,E_persist,assignment_provenance,learned,pooled_rf,1829,1608,27,1046,0.5718972115910333,976,732,244,314,539,0.7240356083086054,0.75,0.6998087954110899,,,
partial_2026,12,E_persist,assignment_provenance,learned,xgb,1829,1608,27,1046,0.5718972115910333,1043,750,293,296,490,0.7180469123982767,0.7190795781399808,0.7170172084130019,,,
partial_2026,12,E_persist,assignment_provenance,learned,persistence,1829,1608,27,1046,0.5718972115910333,1047,801,246,245,537,0.7654085045389393,0.7650429799426934,0.765774378585086,,,
partial_2026,12,E_persist,assignment_provenance,nearest_donor,partitioned_rf,1836,1685,27,759,0.4133986928104575,737,479,258,280,819,0.6403743315508021,0.649932157394844,0.6310935441370223,,,
partial_2026,12,E_persist,assignment_provenance,nearest_donor,pooled_rf,1836,1685,27,759,0.4133986928104575,690,469,221,290,856,0.6473429951690821,0.6797101449275362,0.6179183135704874,,,
partial_2026,12,E_persist,assignment_provenance,nearest_donor,xgb,1836,1685,27,759,0.4133986928104575,735,475,260,284,817,0.6358768406961178,0.6462585034013606,0.6258234519104084,,,
partial_2026,12,E_persist,assignment_provenance,nearest_donor,persistence,1836,1685,27,759,0.4133986928104575,740,480,260,279,817,0.6404269513008672,0.6486486486486487,0.6324110671936759,,,
partial_2026,12,E_persist,assignment_provenance,unresolved,partitioned_rf,375,367,13,112,0.2986666666666667,149,91,58,21,205,0.6973180076628352,0.610738255033557,0.8125,,,
partial_2026,12,E_persist,assignment_provenance,unresolved,pooled_rf,375,367,13,112,0.2986666666666667,149,91,58,21,205,0.6973180076628352,0.610738255033557,0.8125,,,
partial_2026,12,E_persist,assignment_provenance,unresolved,xgb,375,367,13,112,0.2986666666666667,166,95,71,17,192,0.6834532374100719,0.572289156626506,0.8482142857142857,,,
partial_2026,12,E_persist,assignment_provenance,unresolved,persistence,375,367,13,112,0.2986666666666667,136,82,54,30,209,0.6612903225806451,0.6029411764705882,0.7321428571428571,,,
