method,baseline,horizon_months,delta_f1,mean_delta_f1
rich_direct_xgb,rich_rf,6,-0.023314922879656752,-0.01176905530653266
rich_direct_xgb,rich_rf,12,-0.006323440257727686,-0.01176905530653266
rich_direct_xgb,fullpool_xgb,1,-0.01199838533701969,-0.011336250630605393
rich_direct_xgb,fullpool_xgb,3,-0.00662033032787912,-0.011336250630605393
rich_direct_xgb,fullpool_xgb,6,-0.018606639997558627,-0.011336250630605393
rich_direct_xgb,fullpool_xgb,12,-0.008119646859964136,-0.011336250630605393
rich_direct_xgb,persistence,1,0.0010960074018981913,-0.0013353474023363454
rich_direct_xgb,persistence,3,0.0006715301482378422,-0.0013353474023363454
rich_direct_xgb,persistence,6,-0.002894863394076297,-0.0013353474023363454
rich_direct_xgb,persistence,12,-0.004214063765405118,-0.0013353474023363454
correction_xgb,binary_history_xgb,1,0.0010766867882546771,0.0018250069281534054
correction_xgb,binary_history_xgb,3,0.0018755665350108641,0.0018250069281534054
correction_xgb,binary_history_xgb,6,0.004118818526262058,0.0018250069281534054
correction_xgb,binary_history_xgb,12,0.00022895586308602223,0.0018250069281534054
correction_xgb,rich_direct_xgb,1,9.177290987449904e-05,0.002905828729359322
correction_xgb,rich_direct_xgb,3,0.0009056310006364532,0.002905828729359322
correction_xgb,rich_direct_xgb,6,0.006182891378435196,0.002905828729359322
correction_xgb,rich_direct_xgb,12,0.0044430196284911405,0.002905828729359322
correction_xgb,share_xgb,1,-0.0005565056502708776,-0.005798741831933324
correction_xgb,share_xgb,3,-0.0032352158216936155,-0.005798741831933324
correction_xgb,share_xgb,6,-0.014919314050939936,-0.005798741831933324
correction_xgb,share_xgb,12,-0.004483931804828867,-0.005798741831933324
correction_xgb,rich_rf,1,-0.005353518988053696,-0.008863226577173339
correction_xgb,rich_rf,3,-0.011086935190181557,-0.008863226577173339
correction_xgb,rich_rf,6,-0.017132031501221556,-0.008863226577173339
correction_xgb,rich_rf,12,-0.0018804206292365455,-0.008863226577173339
correction_xgb,fullpool_xgb,1,-0.011906612427145191,-0.008430421901246071
correction_xgb,fullpool_xgb,3,-0.005714699327242667,-0.008430421901246071
correction_xgb,fullpool_xgb,6,-0.012423748619123431,-0.008430421901246071
correction_xgb,fullpool_xgb,12,-0.0036766272314729953,-0.008430421901246071
correction_xgb,persistence,1,0.0011877803117726904,0.0015704813270229767
correction_xgb,persistence,3,0.0015771611488742954,0.0015704813270229767
correction_xgb,persistence,6,0.003288027984358899,0.0015704813270229767
correction_xgb,persistence,12,0.00022895586308602223,0.0015704813270229767
share_xgb,binary_history_xgb,1,0.0016331924385255547,0.007623748760086729
share_xgb,binary_history_xgb,3,0.00511078235670448,0.007623748760086729
share_xgb,binary_history_xgb,6,0.019038132577201994,0.007623748760086729
share_xgb,binary_history_xgb,12,0.004712887667914889,0.007623748760086729
share_xgb,rich_direct_xgb,1,0.0006482785601453767,0.008704570561292646
share_xgb,rich_direct_xgb,3,0.004140846822330069,0.008704570561292646
share_xgb,rich_direct_xgb,6,0.02110220542937513,0.008704570561292646
share_xgb,rich_direct_xgb,12,0.008926951433320007,0.008704570561292646
share_xgb,correction_xgb,1,0.0005565056502708776,0.005798741831933324
share_xgb,correction_xgb,3,0.0032352158216936155,0.005798741831933324
share_xgb,correction_xgb,6,0.014919314050939936,0.005798741831933324
share_xgb,correction_xgb,12,0.004483931804828867,0.005798741831933324
share_xgb,rich_rf,1,-0.004797013337782818,-0.003064484745240015
share_xgb,rich_rf,3,-0.007851719368487942,-0.003064484745240015
share_xgb,rich_rf,6,-0.0022127174502816205,-0.003064484745240015
share_xgb,rich_rf,12,0.0026035111755923213,-0.003064484745240015
share_xgb,fullpool_xgb,1,-0.011350106776874314,-0.0026316800693127473
share_xgb,fullpool_xgb,3,-0.0024794835055490516,-0.0026316800693127473
share_xgb,fullpool_xgb,6,0.0024955654318165044,-0.0026316800693127473
share_xgb,fullpool_xgb,12,0.0008073045733558715,-0.0026316800693127473
share_xgb,persistence,1,0.001744285962043568,0.007369223158956301
share_xgb,persistence,3,0.004812376970567911,0.007369223158956301
share_xgb,persistence,6,0.018207342035298835,0.007369223158956301
share_xgb,persistence,12,0.004712887667914889,0.007369223158956301
rich_rf,binary_history_xgb,1,0.006430205776308373,0.010688233505326744
rich_rf,binary_history_xgb,3,0.012962501725192421,0.010688233505326744
rich_rf,binary_history_xgb,6,0.021250850027483614,0.010688233505326744
rich_rf,binary_history_xgb,12,0.0021093764923225677,0.010688233505326744
rich_rf,rich_direct_xgb,1,0.005445291897928195,0.01176905530653266
rich_rf,rich_direct_xgb,3,0.01199256619081801,0.01176905530653266
rich_rf,rich_direct_xgb,6,0.023314922879656752,0.01176905530653266
rich_rf,rich_direct_xgb,12,0.006323440257727686,0.01176905530653266
rich_rf,correction_xgb,1,0.005353518988053696,0.008863226577173339
rich_rf,correction_xgb,3,0.011086935190181557,0.008863226577173339
rich_rf,correction_xgb,6,0.017132031501221556,0.008863226577173339
rich_rf,correction_xgb,12,0.0018804206292365455,0.008863226577173339
rich_rf,share_xgb,1,0.004797013337782818,0.003064484745240015
rich_rf,share_xgb,3,0.007851719368487942,0.003064484745240015
rich_rf,share_xgb,6,0.0022127174502816205,0.003064484745240015
rich_rf,share_xgb,12,-0.0026035111755923213,0.003064484745240015
rich_rf,fullpool_xgb,1,-0.006553093439091495,0.00043280467592726746
rich_rf,fullpool_xgb,3,0.00537223586293889,0.00043280467592726746
rich_rf,fullpool_xgb,6,0.004708282882098125,0.00043280467592726746
rich_rf,fullpool_xgb,12,-0.0017962066022364498,0.00043280467592726746
rich_rf,persistence,1,0.006541299299826386,0.010433707904196315
rich_rf,persistence,3,0.012664096339055853,0.010433707904196315
rich_rf,persistence,6,0.020420059485580455,0.010433707904196315
rich_rf,persistence,12,0.0021093764923225677,0.010433707904196315
fullpool_xgb,binary_history_xgb,1,0.012983299215399868,0.010255428829399477
fullpool_xgb,binary_history_xgb,3,0.007590265862253531,0.010255428829399477
fullpool_xgb,binary_history_xgb,6,0.01654256714538549,0.010255428829399477
fullpool_xgb,binary_history_xgb,12,0.0039055830945590175,0.010255428829399477
fullpool_xgb,rich_direct_xgb,1,0.01199838533701969,0.011336250630605393
fullpool_xgb,rich_direct_xgb,3,0.00662033032787912,0.011336250630605393
fullpool_xgb,rich_direct_xgb,6,0.018606639997558627,0.011336250630605393
fullpool_xgb,rich_direct_xgb,12,0.008119646859964136,0.011336250630605393
fullpool_xgb,correction_xgb,1,0.011906612427145191,0.008430421901246071
fullpool_xgb,correction_xgb,3,0.005714699327242667,0.008430421901246071
fullpool_xgb,correction_xgb,6,0.012423748619123431,0.008430421901246071
fullpool_xgb,correction_xgb,12,0.0036766272314729953,0.008430421901246071
fullpool_xgb,share_xgb,1,0.011350106776874314,0.0026316800693127473
fullpool_xgb,share_xgb,3,0.0024794835055490516,0.0026316800693127473
fullpool_xgb,share_xgb,6,-0.0024955654318165044,0.0026316800693127473
fullpool_xgb,share_xgb,12,-0.0008073045733558715,0.0026316800693127473
fullpool_xgb,rich_rf,1,0.006553093439091495,-0.00043280467592726746
fullpool_xgb,rich_rf,3,-0.00537223586293889,-0.00043280467592726746
fullpool_xgb,rich_rf,6,-0.004708282882098125,-0.00043280467592726746
fullpool_xgb,rich_rf,12,0.0017962066022364498,-0.00043280467592726746
fullpool_xgb,persistence,1,0.013094392738917882,0.010000903228269048
fullpool_xgb,persistence,3,0.0072918604761169625,0.010000903228269048
fullpool_xgb,persistence,6,0.01571177660348233,0.010000903228269048
fullpool_xgb,persistence,12,0.0039055830945590175,0.010000903228269048
persistence,binary_history_xgb,1,-0.00011109352351801327,0.00025452560113042866
persistence,binary_history_xgb,3,0.00029840538613656875,0.00025452560113042866
persistence,binary_history_xgb,6,0.0008307905419031592,0.00025452560113042866
persistence,binary_history_xgb,12,0.0,0.00025452560113042866
persistence,rich_direct_xgb,1,-0.0010960074018981913,0.0013353474023363454
persistence,rich_direct_xgb,3,-0.0006715301482378422,0.0013353474023363454
persistence,rich_direct_xgb,6,0.002894863394076297,0.0013353474023363454
persistence,rich_direct_xgb,12,0.004214063765405118,0.0013353474023363454
persistence,correction_xgb,1,-0.0011877803117726904,-0.0015704813270229767
persistence,correction_xgb,3,-0.0015771611488742954,-0.0015704813270229767
persistence,correction_xgb,6,-0.003288027984358899,-0.0015704813270229767
persistence,correction_xgb,12,-0.00022895586308602223,-0.0015704813270229767
persistence,share_xgb,1,-0.001744285962043568,-0.007369223158956301
persistence,share_xgb,3,-0.004812376970567911,-0.007369223158956301
persistence,share_xgb,6,-0.018207342035298835,-0.007369223158956301
persistence,share_xgb,12,-0.004712887667914889,-0.007369223158956301
persistence,rich_rf,1,-0.006541299299826386,-0.010433707904196315
persistence,rich_rf,3,-0.012664096339055853,-0.010433707904196315
persistence,rich_rf,6,-0.020420059485580455,-0.010433707904196315
persistence,rich_rf,12,-0.0021093764923225677,-0.010433707904196315
persistence,fullpool_xgb,1,-0.013094392738917882,-0.010000903228269048
persistence,fullpool_xgb,3,-0.0072918604761169625,-0.010000903228269048
persistence,fullpool_xgb,6,-0.01571177660348233,-0.010000903228269048
persistence,fullpool_xgb,12,-0.0039055830945590175,-0.010000903228269048
