method,baseline,horizon_months,delta_f1,mean_delta_f1
binary_history_xgb,rich_direct_xgb,1,-0.000984913878380178,0.0010808218012059168
binary_history_xgb,rich_direct_xgb,3,-0.0009699355343744109,0.0010808218012059168
binary_history_xgb,rich_direct_xgb,6,0.0020640728521731377,0.0010808218012059168
binary_history_xgb,rich_direct_xgb,12,0.004214063765405118,0.0010808218012059168
binary_history_xgb,correction_xgb,1,-0.0010766867882546771,-0.0018250069281534054
binary_history_xgb,correction_xgb,3,-0.0018755665350108641,-0.0018250069281534054
binary_history_xgb,correction_xgb,6,-0.004118818526262058,-0.0018250069281534054
binary_history_xgb,correction_xgb,12,-0.00022895586308602223,-0.0018250069281534054
binary_history_xgb,share_xgb,1,-0.0016331924385255547,-0.007623748760086729
binary_history_xgb,share_xgb,3,-0.00511078235670448,-0.007623748760086729
binary_history_xgb,share_xgb,6,-0.019038132577201994,-0.007623748760086729
binary_history_xgb,share_xgb,12,-0.004712887667914889,-0.007623748760086729
binary_history_xgb,rich_rf,1,-0.006430205776308373,-0.010688233505326744
binary_history_xgb,rich_rf,3,-0.012962501725192421,-0.010688233505326744
binary_history_xgb,rich_rf,6,-0.021250850027483614,-0.010688233505326744
binary_history_xgb,rich_rf,12,-0.0021093764923225677,-0.010688233505326744
binary_history_xgb,fullpool_xgb,1,-0.012983299215399868,-0.010255428829399477
binary_history_xgb,fullpool_xgb,3,-0.007590265862253531,-0.010255428829399477
binary_history_xgb,fullpool_xgb,6,-0.01654256714538549,-0.010255428829399477
binary_history_xgb,fullpool_xgb,12,-0.0039055830945590175,-0.010255428829399477
binary_history_xgb,persistence,1,0.00011109352351801327,-0.00025452560113042866
binary_history_xgb,persistence,3,-0.00029840538613656875,-0.00025452560113042866
binary_history_xgb,persistence,6,-0.0008307905419031592,-0.00025452560113042866
binary_history_xgb,persistence,12,0.0,-0.00025452560113042866
rich_direct_xgb,binary_history_xgb,1,0.000984913878380178,-0.0010808218012059168
rich_direct_xgb,binary_history_xgb,3,0.0009699355343744109,-0.0010808218012059168
rich_direct_xgb,binary_history_xgb,6,-0.0020640728521731377,-0.0010808218012059168
rich_direct_xgb,binary_history_xgb,12,-0.004214063765405118,-0.0010808218012059168
rich_direct_xgb,correction_xgb,1,-9.177290987449904e-05,-0.002905828729359322
rich_direct_xgb,correction_xgb,3,-0.0009056310006364532,-0.002905828729359322
rich_direct_xgb,correction_xgb,6,-0.006182891378435196,-0.002905828729359322
rich_direct_xgb,correction_xgb,12,-0.0044430196284911405,-0.002905828729359322
rich_direct_xgb,share_xgb,1,-0.0006482785601453767,-0.008704570561292646
rich_direct_xgb,share_xgb,3,-0.004140846822330069,-0.008704570561292646
rich_direct_xgb,share_xgb,6,-0.02110220542937513,-0.008704570561292646
rich_direct_xgb,share_xgb,12,-0.008926951433320007,-0.008704570561292646
rich_direct_xgb,rich_rf,1,-0.005445291897928195,-0.01176905530653266
rich_direct_xgb,rich_rf,3,-0.01199256619081801,-0.01176905530653266
