method,horizon_months,cohort,tp,fp,fn,tn,n,f1,precision,recall
binary_history_xgb,1,CH,556,369,382,4494,5801,0.596886741814278,0.601081081081081,0.5927505330490405
binary_history_xgb,1,IPC,3624,1773,1383,3421,10201,0.6966551326412919,0.6714841578654808,0.7237866986219293
binary_history_xgb,3,CH,549,353,389,4510,5801,0.5967391304347827,0.6086474501108647,0.5852878464818764
binary_history_xgb,3,IPC,3571,1820,1378,3337,10106,0.690715667311412,0.6624002967909479,0.7215599110931501
binary_history_xgb,6,CH,560,340,377,4523,5800,0.6096897114861187,0.6222222222222222,0.5976520811099253
binary_history_xgb,6,IPC,3182,1697,1255,3026,9160,0.6831258050665522,0.6521828243492519,0.717151228307415
binary_history_xgb,12,CH,457,252,335,3564,4608,0.608927381745503,0.6445698166431594,0.577020202020202
binary_history_xgb,12,IPC,2831,1609,957,2399,7796,0.6881380651434127,0.6376126126126126,0.7473600844772967
correction_xgb,1,CH,552,339,386,4524,5801,0.6036085292509568,0.6195286195286195,0.5884861407249466
correction_xgb,1,IPC,3623,1774,1384,3420,10201,0.6964628988850442,0.6712988697424495,0.7235869782304774
correction_xgb,3,CH,546,293,392,4570,5801,0.614518851997749,0.6507747318235996,0.582089552238806
correction_xgb,3,IPC,3561,1821,1388,3336,10106,0.6893814732358919,0.6616499442586399,0.7195393008688624
correction_xgb,6,CH,555,297,382,4566,5800,0.6204583566238122,0.6514084507042254,0.5923159018143009
correction_xgb,6,IPC,3239,1774,1198,2949,9160,0.6855026455026455,0.6461200877717933,0.7299977462249267
correction_xgb,12,CH,452,237,340,3579,4608,0.6103983794733289,0.6560232220609579,0.5707070707070707
correction_xgb,12,IPC,2829,1607,959,2401,7796,0.6879863813229572,0.637736699729486,0.746832101372756
fullpool_xgb,1,CH,566,279,372,4584,5801,0.6348850252383623,0.6698224852071006,0.603411513859275
fullpool_xgb,1,IPC,4019,2395,988,2799,10201,0.7037912617108835,0.6265980667290303,0.8026762532454563
fullpool_xgb,3,CH,538,301,400,4562,5801,0.6055149127743388,0.6412395709177592,0.5735607675906184
fullpool_xgb,3,IPC,3724,2010,1225,3147,10106,0.6971824393896845,0.6494593651900942,0.7524752475247525
fullpool_xgb,6,CH,553,268,384,4595,5800,0.6291240045506257,0.6735688185140073,0.5901814300960512
fullpool_xgb,6,IPC,3580,2247,857,2476,9160,0.6975837879968823,0.6143813282992964,0.806851476222673
fullpool_xgb,12,CH,449,226,343,3590,4608,0.6121336059986366,0.6651851851851852,0.5669191919191919
fullpool_xgb,12,IPC,3237,2352,551,1656,7796,0.6904127119547829,0.5791733762748256,0.8545406546990496
persistence,1,CH,556,369,382,4494,5801,0.596886741814278,0.601081081081081,0.5927505330490405
persistence,1,IPC,3624,1775,1383,3419,10201,0.6965212377474534,0.6712354139655492,0.7237866986219293
persistence,3,CH,556,369,382,4494,5801,0.596886741814278,0.601081081081081,0.5927505330490405
persistence,3,IPC,3578,1826,1371,3331,10106,0.6912006181783058,0.6621021465581051,0.7229743382501516
persistence,6,CH,569,344,368,4519,5800,0.6151351351351352,0.6232201533406353,0.6072572038420491
persistence,6,IPC,3182,1697,1255,3026,9160,0.6831258050665522,0.6521828243492519,0.717151228307415
persistence,12,CH,457,252,335,3564,4608,0.608927381745503,0.6445698166431594,0.577020202020202
persistence,12,IPC,2831,1609,957,2399,7796,0.6881380651434127,0.6376126126126126,0.7473600844772967
rich_direct_xgb,1,CH,520,232,418,4631,5801,0.6153846153846154,0.6914893617021277,0.5543710021321961
rich_direct_xgb,1,IPC,3578,1734,1429,3460,10201,0.6934780501986627,0.6735692771084337,0.7145995606151389
rich_direct_xgb,3,CH,529,279,409,4584,5801,0.6059564719358533,0.6547029702970297,0.5639658848614072
rich_direct_xgb,3,IPC,3561,1818,1388,3339,10106,0.6895817195972115,0.6620189626324595,0.7195393008688624
rich_direct_xgb,6,CH,521,231,416,4632,5800,0.6169330965068087,0.6928191489361702,0.5560298826040555
rich_direct_xgb,6,IPC,3164,1727,1273,2996,9160,0.6783876500857633,0.6469024739317113,0.7130944331755691
rich_direct_xgb,12,CH,442,229,350,3587,4608,0.6042378673957621,0.6587183308494784,0.5580808080808081
rich_direct_xgb,12,IPC,2981,1960,807,2048,7796,0.6830106541413679,0.6033191661606963,0.7869588173178458
rich_rf,1,CH,530,252,408,4611,5801,0.6162790697674418,0.6777493606138107,0.5650319829424307
rich_rf,1,IPC,3686,1844,1321,3350,10201,0.6996298756761886,0.6665461121157323,0.7361693628919512
rich_rf,3,CH,535,246,403,4617,5801,0.622454915648633,0.6850192061459667,0.570362473347548
rich_rf,3,IPC,3706,1928,1243,3229,10106,0.7003685155437966,0.6577919772807952,0.7488381491210345
rich_rf,6,CH,552,238,385,4625,5800,0.6392588303416329,0.6987341772151898,0.5891141942369263
rich_rf,6,IPC,3448,1944,989,2779,9160,0.7015973140706074,0.6394658753709199,0.7771016452558035
rich_rf,12,CH,448,208,344,3608,4608,0.6187845303867403,0.6829268292682927,0.5656565656565656
rich_rf,12,IPC,3153,2233,635,1775,7796,0.6873773708306082,0.5854066097289269,0.8323653643083422
share_xgb,1,CH,527,271,411,4592,5801,0.6071428571428571,0.6604010025062657,0.5618336886993603
share_xgb,1,IPC,3607,1753,1400,3441,10201,0.6958618693932671,0.6729477611940299,0.7203914519672459
share_xgb,3,CH,538,304,400,4559,5801,0.604494382022472,0.6389548693586699,0.5735607675906184
share_xgb,3,IPC,3653,1915,1296,3242,10106,0.6946847960444994,0.6560704022988506,0.7381289149323096
share_xgb,6,CH,561,280,376,4583,5800,0.6310461192350956,0.667063020214031,0.5987193169690501
share_xgb,6,IPC,3528,2108,909,2615,9160,0.700486448922863,0.6259758694109298,0.795131845841785
share_xgb,12,CH,459,237,333,3579,4608,0.6169354838709677,0.6594827586206896,0.5795454545454546
share_xgb,12,IPC,3148,2175,640,1833,7796,0.6910328174733839,0.5913958294195003,0.8310454065469906
