method,horizon_months,country_key,tp,fp,fn,tn,n,f1,precision,recall
correction_xgb,3,Malawi,29,11,13,47,100,0.7073170731707317,0.725,0.6904761904761905
correction_xgb,3,Mali,15,4,6,187,212,0.75,0.7894736842105263,0.7142857142857143
correction_xgb,3,Mauritania,0,2,2,166,170,0.0,0.0,0.0
correction_xgb,3,Mozambique,94,76,133,316,619,0.473551637279597,0.5529411764705883,0.41409691629955947
correction_xgb,3,Namibia,26,7,14,12,59,0.7123287671232876,0.7878787878787878,0.65
correction_xgb,3,Niger,15,14,17,186,232,0.4918032786885246,0.5172413793103449,0.46875
correction_xgb,3,Nigeria,177,108,169,2221,2675,0.561014263074485,0.6210526315789474,0.5115606936416185
correction_xgb,3,Pakistan,110,88,22,65,285,0.6666666666666666,0.5555555555555556,0.8333333333333334
correction_xgb,3,"Palestine, State of",16,0,0,0,16,1.0,1.0,1.0
correction_xgb,3,Senegal,0,5,6,188,199,0.0,0.0,0.0
correction_xgb,3,Sierra Leone,3,10,8,59,80,0.25,0.23076923076923078,0.2727272727272727
correction_xgb,3,Somalia,772,521,407,1113,2813,0.6245954692556634,0.597061098221191,0.6547921967769296
correction_xgb,3,South Africa,5,2,1,9,17,0.7692307692307693,0.7142857142857143,0.8333333333333334
correction_xgb,3,South Sudan,304,40,28,20,392,0.8994082840236687,0.8837209302325582,0.9156626506024096
correction_xgb,3,Sudan,155,29,147,68,399,0.6378600823045267,0.842391304347826,0.5132450331125827
correction_xgb,3,Tajikistan,7,0,0,0,7,1.0,1.0,1.0
correction_xgb,3,"Tanzania, United Republic of",0,14,2,122,138,0.0,0.0,0.0
correction_xgb,3,Timor-Leste,2,1,8,3,14,0.3076923076923077,0.6666666666666666,0.2
correction_xgb,3,Togo,2,6,11,161,180,0.19047619047619047,0.25,0.15384615384615385
correction_xgb,3,Uganda,83,55,83,151,372,0.5460526315789473,0.6014492753623188,0.5
correction_xgb,3,Yemen,608,11,45,0,664,0.9559748427672956,0.9822294022617124,0.9310872894333844
correction_xgb,3,Zambia,92,134,93,111,430,0.44768856447688565,0.40707964601769914,0.4972972972972973
correction_xgb,3,Zimbabwe,14,12,1,1,28,0.6829268292682927,0.5384615384615384,0.9333333333333333
correction_xgb,6,Afghanistan,127,116,19,30,292,0.6529562982005142,0.522633744855967,0.8698630136986302
correction_xgb,6,Angola,9,5,0,0,14,0.782608695652174,0.6428571428571429,1.0
correction_xgb,6,Bangladesh,25,8,0,17,50,0.8620689655172413,0.7575757575757576,1.0
correction_xgb,6,Benin,0,0,1,245,246,0.0,,0.0
correction_xgb,6,Burkina Faso,20,10,23,105,158,0.547945205479452,0.6666666666666666,0.46511627906976744
correction_xgb,6,Burundi,0,0,3,54,57,0.0,,0.0
correction_xgb,6,Cabo Verde,0,1,0,37,38,0.0,0.0,
correction_xgb,6,Cameroon,25,18,26,189,258,0.5319148936170213,0.5813953488372093,0.49019607843137253
correction_xgb,6,Central African Republic,538,137,133,117,925,0.799405646359584,0.797037037037037,0.8017883755588674
correction_xgb,6,Chad,17,29,49,250,345,0.30357142857142855,0.3695652173913043,0.25757575757575757
correction_xgb,6,"Congo, The Democratic Republic of the",225,167,130,303,825,0.6024096385542169,0.5739795918367347,0.6338028169014085
correction_xgb,6,Côte d'Ivoire,0,1,1,153,155,0.0,0.0,0.0
correction_xgb,6,Djibouti,22,13,10,27,72,0.6567164179104478,0.6285714285714286,0.6875
correction_xgb,6,Dominican Republic,4,6,22,55,87,0.2222222222222222,0.4,0.15384615384615385
correction_xgb,6,El Salvador,1,10,11,35,57,0.08695652173913043,0.09090909090909091,0.08333333333333333
correction_xgb,6,Eswatini,9,7,2,14,32,0.6666666666666666,0.5625,0.8181818181818182
correction_xgb,6,Ethiopia,34,19,10,11,74,0.7010309278350515,0.6415094339622641,0.7727272727272727
correction_xgb,6,Gambia,0,0,0,32,32,,,
correction_xgb,6,Ghana,11,24,34,196,265,0.275,0.3142857142857143,0.24444444444444444
correction_xgb,6,Guatemala,18,42,8,167,235,0.4186046511627907,0.3,0.6923076923076923
correction_xgb,6,Guinea,0,0,4,107,111,0.0,,0.0
correction_xgb,6,Guinea-Bissau,0,0,0,37,37,,,
correction_xgb,6,Haiti,162,88,11,11,272,0.7659574468085106,0.648,0.9364161849710982
correction_xgb,6,Honduras,21,69,12,46,148,0.34146341463414637,0.23333333333333334,0.6363636363636364
correction_xgb,6,Kenya,31,48,11,157,247,0.512396694214876,0.3924050632911392,0.7380952380952381
correction_xgb,6,Lebanon,71,26,27,40,164,0.7282051282051282,0.7319587628865979,0.7244897959183674
correction_xgb,6,Lesotho,17,10,2,11,40,0.7391304347826086,0.6296296296296297,0.8947368421052632
correction_xgb,6,Liberia,0,2,0,26,28,0.0,0.0,
correction_xgb,6,Madagascar,20,81,14,117,232,0.2962962962962963,0.19801980198019803,0.5882352941176471
correction_xgb,6,Malawi,30,11,12,47,100,0.7228915662650602,0.7317073170731707,0.7142857142857143
correction_xgb,6,Mali,14,4,7,187,212,0.717948717948718,0.7777777777777778,0.6666666666666666
correction_xgb,6,Mauritania,0,2,2,166,170,0.0,0.0,0.0
correction_xgb,6,Mozambique,93,75,100,282,550,0.5152354570637119,0.5535714285714286,0.48186528497409326
correction_xgb,6,Namibia,16,7,24,12,59,0.5079365079365079,0.6956521739130435,0.4
correction_xgb,6,Niger,15,19,17,181,232,0.45454545454545453,0.4411764705882353,0.46875
correction_xgb,6,Nigeria,188,112,158,2217,2675,0.5820433436532507,0.6266666666666667,0.5433526011560693
correction_xgb,6,Pakistan,102,93,17,40,252,0.6496815286624203,0.5230769230769231,0.8571428571428571
correction_xgb,6,"Palestine, State of",13,0,0,0,13,1.0,1.0,1.0
correction_xgb,6,Senegal,0,0,6,193,199,0.0,,0.0
correction_xgb,6,Sierra Leone,4,12,7,57,80,0.2962962962962963,0.25,0.36363636363636365
correction_xgb,6,Somalia,658,495,370,952,2475,0.6033929390187988,0.5706851691240243,0.6400778210116731
correction_xgb,6,South Africa,4,2,2,9,17,0.6666666666666666,0.6666666666666666,0.6666666666666666
correction_xgb,6,South Sudan,304,41,28,19,392,0.8980797636632201,0.881159420289855,0.9156626506024096
correction_xgb,6,Sudan,130,25,38,22,215,0.804953560371517,0.8387096774193549,0.7738095238095238
correction_xgb,6,Tajikistan,6,0,0,0,6,1.0,1.0,1.0
correction_xgb,6,"Tanzania, United Republic of",0,14,2,122,138,0.0,0.0,0.0
correction_xgb,6,Timor-Leste,2,1,8,3,14,0.3076923076923077,0.6666666666666666,0.2
correction_xgb,6,Togo,3,7,10,160,180,0.2608695652173913,0.3,0.23076923076923078
correction_xgb,6,Uganda,83,57,78,145,363,0.5514950166112956,0.5928571428571429,0.515527950310559
correction_xgb,6,Yemen,616,11,37,0,664,0.9625,0.9824561403508771,0.9433384379785605
correction_xgb,6,Zambia,92,134,93,111,430,0.44768856447688565,0.40707964601769914,0.4972972972972973
correction_xgb,6,Zimbabwe,14,12,1,1,28,0.6829268292682927,0.5384615384615384,0.9333333333333333
correction_xgb,12,Afghanistan,69,88,13,30,200,0.5774058577405857,0.4394904458598726,0.8414634146341463
correction_xgb,12,Angola,9,5,0,0,14,0.782608695652174,0.6428571428571429,1.0
correction_xgb,12,Bangladesh,16,4,0,17,37,0.8888888888888888,0.8,1.0
correction_xgb,12,Benin,0,0,1,187,188,0.0,,0.0
correction_xgb,12,Burkina Faso,10,9,19,76,114,0.4166666666666667,0.5263157894736842,0.3448275862068966
correction_xgb,12,Burundi,0,0,3,46,49,0.0,,0.0
correction_xgb,12,Cabo Verde,0,0,0,19,19,,,
correction_xgb,12,Cameroon,25,19,16,148,208,0.5882352941176471,0.5681818181818182,0.6097560975609756
correction_xgb,12,Central African Republic,469,153,22,83,727,0.8427672955974843,0.7540192926045016,0.955193482688391
correction_xgb,12,Chad,15,13,45,204,277,0.3409090909090909,0.5357142857142857,0.25
correction_xgb,12,"Congo, The Democratic Republic of the",168,101,101,251,621,0.6245353159851301,0.6245353159851301,0.6245353159851301
correction_xgb,12,Côte d'Ivoire,0,0,1,123,124,0.0,,0.0
correction_xgb,12,Djibouti,27,17,5,23,72,0.7105263157894737,0.6136363636363636,0.84375
correction_xgb,12,Dominican Republic,3,3,20,29,55,0.20689655172413793,0.5,0.13043478260869565
correction_xgb,12,El Salvador,1,2,11,43,57,0.13333333333333333,0.3333333333333333,0.08333333333333333
correction_xgb,12,Eswatini,9,7,2,14,32,0.6666666666666666,0.5625,0.8181818181818182
correction_xgb,12,Ethiopia,40,28,3,2,73,0.7207207207207207,0.5882352941176471,0.9302325581395349
correction_xgb,12,Gambia,0,0,0,24,24,,,
correction_xgb,12,Ghana,5,9,30,155,199,0.20408163265306123,0.35714285714285715,0.14285714285714285
correction_xgb,12,Guatemala,13,41,8,150,212,0.3466666666666667,0.24074074074074073,0.6190476190476191
correction_xgb,12,Guinea,0,0,4,101,105,0.0,,0.0
correction_xgb,12,Guinea-Bissau,0,0,0,30,30,,,
correction_xgb,12,Haiti,122,82,11,11,226,0.7240356083086054,0.5980392156862745,0.9172932330827067
correction_xgb,12,Honduras,16,53,12,53,134,0.32989690721649484,0.2318840579710145,0.5714285714285714
correction_xgb,12,Kenya,20,64,13,111,208,0.3418803418803419,0.23809523809523808,0.6060606060606061
correction_xgb,12,Lebanon,60,11,32,33,136,0.7361963190184049,0.8450704225352113,0.6521739130434783
correction_xgb,12,Lesotho,10,8,3,9,30,0.6451612903225806,0.5555555555555556,0.7692307692307693
correction_xgb,12,Liberia,0,4,0,24,28,0.0,0.0,
correction_xgb,12,Madagascar,17,64,8,94,183,0.32075471698113206,0.20987654320987653,0.68
correction_xgb,12,Malawi,17,10,11,30,68,0.6181818181818182,0.6296296296296297,0.6071428571428571
correction_xgb,12,Mali,9,2,10,143,164,0.6,0.8181818181818182,0.47368421052631576
correction_xgb,12,Mauritania,0,4,2,124,130,0.0,0.0,0.0
correction_xgb,12,Mozambique,93,75,100,282,550,0.5152354570637119,0.5535714285714286,0.48186528497409326
correction_xgb,12,Namibia,12,6,25,2,45,0.43636363636363634,0.6666666666666666,0.32432432432432434
correction_xgb,12,Niger,8,12,16,137,173,0.36363636363636365,0.4,0.3333333333333333
correction_xgb,12,Nigeria,150,88,166,1744,2148,0.5415162454873647,0.6302521008403361,0.47468354430379744
correction_xgb,12,Pakistan,81,77,13,36,207,0.6428571428571429,0.5126582278481012,0.8617021276595744
correction_xgb,12,"Palestine, State of",9,0,0,0,9,1.0,1.0,1.0
correction_xgb,12,Senegal,0,3,6,147,156,0.0,0.0,0.0
correction_xgb,12,Sierra Leone,3,8,4,49,64,0.3333333333333333,0.2727272727272727,0.42857142857142855
correction_xgb,12,Somalia,665,478,251,703,2097,0.6459446333171442,0.5818022747156606,0.7259825327510917
correction_xgb,12,South Africa,4,4,2,7,17,0.5714285714285714,0.5,0.6666666666666666
correction_xgb,12,South Sudan,244,37,16,18,315,0.9020332717190388,0.8683274021352313,0.9384615384615385
correction_xgb,12,Sudan,80,32,86,10,208,0.5755395683453237,0.7142857142857143,0.4819277108433735
correction_xgb,12,Tajikistan,3,0,0,0,3,1.0,1.0,1.0
correction_xgb,12,"Tanzania, United Republic of",0,21,2,103,126,0.0,0.0,0.0
correction_xgb,12,Togo,0,6,13,125,144,0.0,0.0,0.0
correction_xgb,12,Uganda,72,47,84,148,351,0.5236363636363637,0.6050420168067226,0.46153846153846156
correction_xgb,12,Yemen,624,8,29,0,661,0.9712062256809338,0.9873417721518988,0.9555895865237366
correction_xgb,12,Zambia,69,129,79,81,358,0.3988439306358382,0.3484848484848485,0.46621621621621623
correction_xgb,12,Zimbabwe,14,12,1,1,28,0.6829268292682927,0.5384615384615384,0.9333333333333333
fullpool_xgb,1,Afghanistan,165,116,21,35,337,0.7066381156316917,0.5871886120996441,0.8870967741935484
fullpool_xgb,1,Angola,9,5,0,0,14,0.782608695652174,0.6428571428571429,1.0
fullpool_xgb,1,Bangladesh,25,9,0,16,50,0.847457627118644,0.7352941176470589,1.0
fullpool_xgb,1,Benin,0,0,1,245,246,0.0,,0.0
fullpool_xgb,1,Burkina Faso,24,13,19,102,158,0.6,0.6486486486486487,0.5581395348837209
fullpool_xgb,1,Burundi,0,1,3,61,65,0.0,0.0,0.0
fullpool_xgb,1,Cabo Verde,0,1,0,37,38,0.0,0.0,
fullpool_xgb,1,Cameroon,29,24,22,183,258,0.5576923076923077,0.5471698113207547,0.5686274509803921
fullpool_xgb,1,Central African Republic,667,170,78,128,1043,0.843236409608091,0.7968936678614098,0.8953020134228188
fullpool_xgb,1,Chad,16,34,50,245,345,0.27586206896551724,0.32,0.24242424242424243
fullpool_xgb,1,"Congo, The Democratic Republic of the",316,298,64,186,864,0.635814889336016,0.5146579804560261,0.8315789473684211
fullpool_xgb,1,Côte d'Ivoire,0,0,1,154,155,0.0,,0.0
fullpool_xgb,1,Djibouti,24,28,18,17,87,0.5106382978723404,0.46153846153846156,0.5714285714285714
fullpool_xgb,1,Dominican Republic,5,28,21,33,87,0.1694915254237288,0.15151515151515152,0.19230769230769232
fullpool_xgb,1,El Salvador,2,7,10,38,57,0.19047619047619047,0.2222222222222222,0.16666666666666666
fullpool_xgb,1,Eswatini,13,6,4,20,43,0.7222222222222222,0.6842105263157895,0.7647058823529411
fullpool_xgb,1,Ethiopia,37,21,7,9,74,0.7254901960784313,0.6379310344827587,0.8409090909090909
fullpool_xgb,1,Gambia,0,0,0,32,32,,,
fullpool_xgb,1,Ghana,12,18,33,202,265,0.32,0.4,0.26666666666666666
fullpool_xgb,1,Guatemala,18,25,8,186,237,0.5217391304347826,0.4186046511627907,0.6923076923076923
fullpool_xgb,1,Guinea,0,0,4,107,111,0.0,,0.0
fullpool_xgb,1,Guinea-Bissau,0,0,0,37,37,,,
fullpool_xgb,1,Haiti,167,108,6,0,281,0.7455357142857143,0.6072727272727273,0.9653179190751445
fullpool_xgb,1,Honduras,22,53,11,63,149,0.4074074074074074,0.29333333333333333,0.6666666666666666
fullpool_xgb,1,Kenya,43,45,13,174,275,0.5972222222222222,0.48863636363636365,0.7678571428571429
fullpool_xgb,1,Lebanon,112,43,14,48,217,0.797153024911032,0.7225806451612903,0.8888888888888888
fullpool_xgb,1,Lesotho,17,11,2,10,40,0.723404255319149,0.6071428571428571,0.8947368421052632
fullpool_xgb,1,Liberia,0,2,0,26,28,0.0,0.0,
fullpool_xgb,1,Madagascar,23,72,11,149,255,0.35658914728682173,0.24210526315789474,0.6764705882352942
fullpool_xgb,1,Malawi,34,20,8,38,100,0.7083333333333334,0.6296296296296297,0.8095238095238095
fullpool_xgb,1,Mali,13,3,8,188,212,0.7027027027027027,0.8125,0.6190476190476191
fullpool_xgb,1,Mauritania,0,2,2,166,170,0.0,0.0,0.0
fullpool_xgb,1,Mozambique,95,71,132,321,619,0.48346055979643765,0.572289156626506,0.4185022026431718
fullpool_xgb,1,Namibia,27,7,13,12,59,0.7297297297297297,0.7941176470588235,0.675
fullpool_xgb,1,Niger,17,18,15,182,232,0.5074626865671642,0.4857142857142857,0.53125
fullpool_xgb,1,Nigeria,171,92,175,2237,2675,0.5615763546798029,0.6501901140684411,0.49421965317919075
fullpool_xgb,1,Pakistan,108,127,24,26,285,0.5885558583106267,0.4595744680851064,0.8181818181818182
fullpool_xgb,1,"Palestine, State of",17,0,0,0,17,1.0,1.0,1.0
fullpool_xgb,1,Senegal,0,2,6,191,199,0.0,0.0,0.0
fullpool_xgb,1,Sierra Leone,1,7,10,62,80,0.10526315789473684,0.125,0.09090909090909091
fullpool_xgb,1,Somalia,935,767,273,887,2862,0.6426116838487973,0.5493537015276145,0.7740066225165563
fullpool_xgb,1,South Africa,6,4,0,7,17,0.75,0.6,1.0
fullpool_xgb,1,South Sudan,318,40,14,20,392,0.9217391304347826,0.888268156424581,0.9578313253012049
fullpool_xgb,1,Sudan,222,59,80,38,399,0.7615780445969125,0.7900355871886121,0.7350993377483444
fullpool_xgb,1,Tajikistan,7,0,0,0,7,1.0,1.0,1.0
fullpool_xgb,1,"Tanzania, United Republic of",2,22,0,114,138,0.15384615384615385,0.08333333333333333,1.0
fullpool_xgb,1,Timor-Leste,2,1,8,3,14,0.3076923076923077,0.6666666666666666,0.2
fullpool_xgb,1,Togo,4,4,9,163,180,0.38095238095238093,0.5,0.3076923076923077
fullpool_xgb,1,Uganda,105,107,61,99,372,0.5555555555555556,0.49528301886792453,0.6325301204819277
fullpool_xgb,1,Yemen,638,11,18,0,667,0.9777777777777777,0.9830508474576272,0.9725609756097561
fullpool_xgb,1,Zambia,102,159,83,86,430,0.45739910313901344,0.39080459770114945,0.5513513513513514
fullpool_xgb,1,Zimbabwe,15,13,0,0,28,0.6976744186046512,0.5357142857142857,1.0
fullpool_xgb,3,Afghanistan,179,131,6,20,336,0.7232323232323232,0.5774193548387097,0.9675675675675676
fullpool_xgb,3,Angola,9,5,0,0,14,0.782608695652174,0.6428571428571429,1.0
fullpool_xgb,3,Bangladesh,25,8,0,17,50,0.8620689655172413,0.7575757575757576,1.0
fullpool_xgb,3,Benin,0,0,1,245,246,0.0,,0.0
fullpool_xgb,3,Burkina Faso,23,16,20,99,158,0.5609756097560976,0.5897435897435898,0.5348837209302325
fullpool_xgb,3,Burundi,0,0,3,62,65,0.0,,0.0
fullpool_xgb,3,Cabo Verde,0,1,0,37,38,0.0,0.0,
fullpool_xgb,3,Cameroon,26,20,25,187,258,0.5360824742268041,0.5652173913043478,0.5098039215686274
fullpool_xgb,3,Central African Republic,617,169,128,129,1043,0.806009144350098,0.7849872773536896,0.8281879194630872
fullpool_xgb,3,Chad,16,38,50,241,345,0.26666666666666666,0.2962962962962963,0.24242424242424243
fullpool_xgb,3,"Congo, The Democratic Republic of the",287,197,93,286,863,0.6643518518518519,0.5929752066115702,0.7552631578947369
fullpool_xgb,3,Côte d'Ivoire,0,0,1,154,155,0.0,,0.0
fullpool_xgb,3,Djibouti,14,16,18,24,72,0.45161290322580644,0.4666666666666667,0.4375
fullpool_xgb,3,Dominican Republic,4,25,22,36,87,0.14545454545454545,0.13793103448275862,0.15384615384615385
fullpool_xgb,3,El Salvador,3,16,9,29,57,0.1935483870967742,0.15789473684210525,0.25
fullpool_xgb,3,Eswatini,12,8,5,18,43,0.6486486486486487,0.6,0.7058823529411765
fullpool_xgb,3,Ethiopia,34,18,10,12,74,0.7083333333333334,0.6538461538461539,0.7727272727272727
fullpool_xgb,3,Gambia,0,0,0,32,32,,,
fullpool_xgb,3,Ghana,12,21,33,199,265,0.3076923076923077,0.36363636363636365,0.26666666666666666
fullpool_xgb,3,Guatemala,19,48,7,163,237,0.40860215053763443,0.2835820895522388,0.7307692307692307
fullpool_xgb,3,Guinea,0,2,4,105,111,0.0,0.0,0.0
fullpool_xgb,3,Guinea-Bissau,0,0,0,37,37,,,
fullpool_xgb,3,Haiti,163,108,10,0,281,0.7342342342342343,0.6014760147601476,0.9421965317919075
fullpool_xgb,3,Honduras,23,77,10,39,149,0.3458646616541353,0.23,0.696969696969697
fullpool_xgb,3,Kenya,32,51,10,157,250,0.512,0.3855421686746988,0.7619047619047619
fullpool_xgb,3,Lebanon,112,37,14,54,217,0.8145454545454546,0.7516778523489933,0.8888888888888888
fullpool_xgb,3,Lesotho,16,8,3,13,40,0.7441860465116279,0.6666666666666666,0.8421052631578947
fullpool_xgb,3,Liberia,0,2,0,26,28,0.0,0.0,
fullpool_xgb,3,Madagascar,18,57,16,164,255,0.3302752293577982,0.24,0.5294117647058824
fullpool_xgb,3,Malawi,28,11,14,47,100,0.691358024691358,0.717948717948718,0.6666666666666666
fullpool_xgb,3,Mali,13,3,8,188,212,0.7027027027027027,0.8125,0.6190476190476191
fullpool_xgb,3,Mauritania,0,2,2,166,170,0.0,0.0,0.0
fullpool_xgb,3,Mozambique,94,75,133,317,619,0.47474747474747475,0.5562130177514792,0.41409691629955947
fullpool_xgb,3,Namibia,26,7,14,12,59,0.7123287671232876,0.7878787878787878,0.65
fullpool_xgb,3,Niger,15,13,17,187,232,0.5,0.5357142857142857,0.46875
fullpool_xgb,3,Nigeria,169,107,177,2222,2675,0.5434083601286174,0.6123188405797102,0.4884393063583815
fullpool_xgb,3,Pakistan,114,99,18,54,285,0.6608695652173913,0.5352112676056338,0.8636363636363636
fullpool_xgb,3,"Palestine, State of",16,0,0,0,16,1.0,1.0,1.0
fullpool_xgb,3,Senegal,0,4,6,189,199,0.0,0.0,0.0
fullpool_xgb,3,Sierra Leone,1,8,10,61,80,0.1,0.1111111111111111,0.09090909090909091
fullpool_xgb,3,Somalia,823,583,356,1051,2813,0.6367504835589942,0.585348506401138,0.6980491942324003
fullpool_xgb,3,South Africa,6,2,0,9,17,0.8571428571428571,0.75,1.0
fullpool_xgb,3,South Sudan,306,41,26,19,392,0.9013254786450663,0.8818443804034583,0.9216867469879518
fullpool_xgb,3,Sudan,170,40,132,57,399,0.6640625,0.8095238095238095,0.5629139072847682
fullpool_xgb,3,Tajikistan,7,0,0,0,7,1.0,1.0,1.0
fullpool_xgb,3,"Tanzania, United Republic of",0,14,2,122,138,0.0,0.0,0.0
fullpool_xgb,3,Timor-Leste,2,1,8,3,14,0.3076923076923077,0.6666666666666666,0.2
fullpool_xgb,3,Togo,4,5,9,162,180,0.36363636363636365,0.4444444444444444,0.3076923076923077
fullpool_xgb,3,Uganda,84,57,82,149,372,0.5472312703583062,0.5957446808510638,0.5060240963855421
fullpool_xgb,3,Yemen,614,11,39,0,664,0.9608763693270735,0.9824,0.9402756508422665
fullpool_xgb,3,Zambia,112,137,73,108,430,0.5161290322580645,0.4497991967871486,0.6054054054054054
fullpool_xgb,3,Zimbabwe,14,12,1,1,28,0.6829268292682927,0.5384615384615384,0.9333333333333333
fullpool_xgb,6,Afghanistan,146,146,0,0,292,0.6666666666666666,0.5,1.0
fullpool_xgb,6,Angola,9,5,0,0,14,0.782608695652174,0.6428571428571429,1.0
fullpool_xgb,6,Bangladesh,25,16,0,9,50,0.7575757575757576,0.6097560975609756,1.0
fullpool_xgb,6,Benin,0,0,1,245,246,0.0,,0.0
fullpool_xgb,6,Burkina Faso,24,13,19,102,158,0.6,0.6486486486486487,0.5581395348837209
fullpool_xgb,6,Burundi,0,4,3,50,57,0.0,0.0,0.0
fullpool_xgb,6,Cabo Verde,0,1,0,37,38,0.0,0.0,
fullpool_xgb,6,Cameroon,27,20,24,187,258,0.5510204081632653,0.574468085106383,0.5294117647058824
fullpool_xgb,6,Central African Republic,574,153,97,101,925,0.821173104434907,0.7895460797799174,0.8554396423248882
fullpool_xgb,6,Chad,13,23,53,256,345,0.2549019607843137,0.3611111111111111,0.19696969696969696
fullpool_xgb,6,"Congo, The Democratic Republic of the",295,298,60,172,825,0.6223628691983122,0.4974704890387858,0.8309859154929577
fullpool_xgb,6,Côte d'Ivoire,0,0,1,154,155,0.0,,0.0
fullpool_xgb,6,Djibouti,22,19,10,21,72,0.6027397260273972,0.5365853658536586,0.6875
fullpool_xgb,6,Dominican Republic,11,16,15,45,87,0.41509433962264153,0.4074074074074074,0.4230769230769231
fullpool_xgb,6,El Salvador,2,11,10,34,57,0.16,0.15384615384615385,0.16666666666666666
fullpool_xgb,6,Eswatini,9,7,2,14,32,0.6666666666666666,0.5625,0.8181818181818182
fullpool_xgb,6,Ethiopia,37,20,7,10,74,0.7326732673267327,0.6491228070175439,0.8409090909090909
fullpool_xgb,6,Gambia,0,0,0,32,32,,,
fullpool_xgb,6,Ghana,12,22,33,198,265,0.3037974683544304,0.35294117647058826,0.26666666666666666
fullpool_xgb,6,Guatemala,20,48,6,161,235,0.425531914893617,0.29411764705882354,0.7692307692307693
fullpool_xgb,6,Guinea,0,0,4,107,111,0.0,,0.0
fullpool_xgb,6,Guinea-Bissau,0,0,0,37,37,,,
fullpool_xgb,6,Haiti,166,92,7,7,272,0.7703016241299304,0.6434108527131783,0.9595375722543352
fullpool_xgb,6,Honduras,25,67,8,48,148,0.4,0.2717391304347826,0.7575757575757576
fullpool_xgb,6,Kenya,35,67,7,138,247,0.4861111111111111,0.3431372549019608,0.8333333333333334
fullpool_xgb,6,Lebanon,86,32,12,34,164,0.7962962962962963,0.7288135593220338,0.8775510204081632
fullpool_xgb,6,Lesotho,17,12,2,9,40,0.7083333333333334,0.5862068965517241,0.8947368421052632
fullpool_xgb,6,Liberia,0,2,0,26,28,0.0,0.0,
fullpool_xgb,6,Madagascar,19,84,15,114,232,0.2773722627737226,0.18446601941747573,0.5588235294117647
fullpool_xgb,6,Malawi,26,9,16,49,100,0.6753246753246753,0.7428571428571429,0.6190476190476191
fullpool_xgb,6,Mali,12,4,9,187,212,0.6486486486486487,0.75,0.5714285714285714
fullpool_xgb,6,Mauritania,0,1,2,167,170,0.0,0.0,0.0
fullpool_xgb,6,Mozambique,93,71,100,286,550,0.5210084033613446,0.5670731707317073,0.48186528497409326
fullpool_xgb,6,Namibia,17,7,23,12,59,0.53125,0.7083333333333334,0.425
fullpool_xgb,6,Niger,17,17,15,183,232,0.5151515151515151,0.5,0.53125
fullpool_xgb,6,Nigeria,169,91,177,2238,2675,0.5577557755775577,0.65,0.4884393063583815
fullpool_xgb,6,Pakistan,119,128,0,5,252,0.6502732240437158,0.4817813765182186,1.0
fullpool_xgb,6,"Palestine, State of",13,0,0,0,13,1.0,1.0,1.0
fullpool_xgb,6,Senegal,0,0,6,193,199,0.0,,0.0
fullpool_xgb,6,Sierra Leone,1,8,10,61,80,0.1,0.1111111111111111,0.09090909090909091
fullpool_xgb,6,Somalia,773,661,255,786,2475,0.627944760357433,0.5390516039051604,0.7519455252918288
fullpool_xgb,6,South Africa,5,2,1,9,17,0.7692307692307693,0.7142857142857143,0.8333333333333334
fullpool_xgb,6,South Sudan,315,44,17,16,392,0.9117221418234442,0.8774373259052924,0.9487951807228916
fullpool_xgb,6,Sudan,132,32,36,15,215,0.7951807228915663,0.8048780487804879,0.7857142857142857
fullpool_xgb,6,Tajikistan,6,0,0,0,6,1.0,1.0,1.0
fullpool_xgb,6,"Tanzania, United Republic of",1,17,1,119,138,0.1,0.05555555555555555,0.5
fullpool_xgb,6,Timor-Leste,2,1,8,3,14,0.3076923076923077,0.6666666666666666,0.2
fullpool_xgb,6,Togo,4,4,9,163,180,0.38095238095238093,0.5,0.3076923076923077
fullpool_xgb,6,Uganda,93,66,68,136,363,0.58125,0.5849056603773585,0.577639751552795
fullpool_xgb,6,Yemen,650,11,3,0,664,0.989345509893455,0.983358547655068,0.9954058192955589
fullpool_xgb,6,Zambia,97,151,88,94,430,0.44803695150115475,0.3911290322580645,0.5243243243243243
fullpool_xgb,6,Zimbabwe,14,12,1,1,28,0.6829268292682927,0.5384615384615384,0.9333333333333333
fullpool_xgb,12,Afghanistan,82,118,0,0,200,0.5815602836879432,0.41,1.0
fullpool_xgb,12,Angola,9,5,0,0,14,0.782608695652174,0.6428571428571429,1.0
fullpool_xgb,12,Bangladesh,16,15,0,6,37,0.6808510638297872,0.5161290322580645,1.0
fullpool_xgb,12,Benin,0,0,1,187,188,0.0,,0.0
fullpool_xgb,12,Burkina Faso,11,10,18,75,114,0.44,0.5238095238095238,0.3793103448275862
fullpool_xgb,12,Burundi,0,0,3,46,49,0.0,,0.0
fullpool_xgb,12,Cabo Verde,0,0,0,19,19,,,
fullpool_xgb,12,Cameroon,29,19,12,148,208,0.651685393258427,0.6041666666666666,0.7073170731707317
fullpool_xgb,12,Central African Republic,486,170,5,66,727,0.8474280732345248,0.7408536585365854,0.9898167006109979
fullpool_xgb,12,Chad,13,14,47,203,277,0.2988505747126437,0.48148148148148145,0.21666666666666667
fullpool_xgb,12,"Congo, The Democratic Republic of the",206,168,63,184,621,0.640746500777605,0.5508021390374331,0.7657992565055762
fullpool_xgb,12,Côte d'Ivoire,0,0,1,123,124,0.0,,0.0
