method,horizon_months,country_key,tp,fp,fn,tn,n,f1,precision,recall
binary_history_xgb,3,Ethiopia,33,18,11,12,74,0.6947368421052632,0.6470588235294118,0.75
binary_history_xgb,3,Gambia,0,1,0,31,32,0.0,0.0,
binary_history_xgb,3,Ghana,15,27,30,193,265,0.3448275862068966,0.35714285714285715,0.3333333333333333
binary_history_xgb,3,Guatemala,18,44,8,167,237,0.4090909090909091,0.2903225806451613,0.6923076923076923
binary_history_xgb,3,Guinea,0,2,4,105,111,0.0,0.0,0.0
binary_history_xgb,3,Guinea-Bissau,0,0,0,37,37,,,
binary_history_xgb,3,Haiti,162,108,11,0,281,0.7313769751693002,0.6,0.9364161849710982
binary_history_xgb,3,Honduras,21,73,12,43,149,0.33070866141732286,0.22340425531914893,0.6363636363636364
binary_history_xgb,3,Kenya,32,46,10,162,250,0.5333333333333333,0.41025641025641024,0.7619047619047619
binary_history_xgb,3,Lebanon,98,34,28,57,217,0.7596899224806202,0.7424242424242424,0.7777777777777778
binary_history_xgb,3,Lesotho,16,6,3,15,40,0.7804878048780488,0.7272727272727273,0.8421052631578947
binary_history_xgb,3,Liberia,0,2,0,26,28,0.0,0.0,
binary_history_xgb,3,Madagascar,18,57,16,164,255,0.3302752293577982,0.24,0.5294117647058824
binary_history_xgb,3,Malawi,30,11,12,47,100,0.7228915662650602,0.7317073170731707,0.7142857142857143
binary_history_xgb,3,Mali,15,3,6,188,212,0.7692307692307693,0.8333333333333334,0.7142857142857143
binary_history_xgb,3,Mauritania,0,2,2,166,170,0.0,0.0,0.0
binary_history_xgb,3,Mozambique,94,76,133,316,619,0.473551637279597,0.5529411764705883,0.41409691629955947
binary_history_xgb,3,Namibia,26,7,14,12,59,0.7123287671232876,0.7878787878787878,0.65
binary_history_xgb,3,Niger,15,18,17,182,232,0.46153846153846156,0.45454545454545453,0.46875
binary_history_xgb,3,Nigeria,173,125,173,2204,2675,0.5372670807453416,0.5805369127516778,0.5
binary_history_xgb,3,Pakistan,110,88,22,65,285,0.6666666666666666,0.5555555555555556,0.8333333333333334
binary_history_xgb,3,"Palestine, State of",16,0,0,0,16,1.0,1.0,1.0
binary_history_xgb,3,Senegal,0,6,6,187,199,0.0,0.0,0.0
binary_history_xgb,3,Sierra Leone,2,9,9,60,80,0.18181818181818182,0.18181818181818182,0.18181818181818182
binary_history_xgb,3,Somalia,772,522,407,1112,2813,0.6243429033562474,0.5965996908809892,0.6547921967769296
binary_history_xgb,3,South Africa,5,2,1,9,17,0.7692307692307693,0.7142857142857143,0.8333333333333334
binary_history_xgb,3,South Sudan,306,41,26,19,392,0.9013254786450663,0.8818443804034583,0.9216867469879518
binary_history_xgb,3,Sudan,156,29,146,68,399,0.6406570841889117,0.8432432432432433,0.5165562913907285
binary_history_xgb,3,Tajikistan,7,0,0,0,7,1.0,1.0,1.0
binary_history_xgb,3,"Tanzania, United Republic of",0,14,2,122,138,0.0,0.0,0.0
binary_history_xgb,3,Timor-Leste,2,1,8,3,14,0.3076923076923077,0.6666666666666666,0.2
binary_history_xgb,3,Togo,4,9,9,158,180,0.3076923076923077,0.3076923076923077,0.3076923076923077
binary_history_xgb,3,Uganda,83,55,83,151,372,0.5460526315789473,0.6014492753623188,0.5
binary_history_xgb,3,Yemen,602,11,51,0,664,0.9510268562401264,0.9820554649265906,0.9218989280245024
binary_history_xgb,3,Zambia,92,134,93,111,430,0.44768856447688565,0.40707964601769914,0.4972972972972973
binary_history_xgb,3,Zimbabwe,14,12,1,1,28,0.6829268292682927,0.5384615384615384,0.9333333333333333
binary_history_xgb,6,Afghanistan,125,114,21,32,292,0.6493506493506493,0.5230125523012552,0.8561643835616438
binary_history_xgb,6,Angola,9,5,0,0,14,0.782608695652174,0.6428571428571429,1.0
binary_history_xgb,6,Bangladesh,25,8,0,17,50,0.8620689655172413,0.7575757575757576,1.0
binary_history_xgb,6,Benin,0,0,1,245,246,0.0,,0.0
binary_history_xgb,6,Burkina Faso,23,13,20,102,158,0.5822784810126582,0.6388888888888888,0.5348837209302325
binary_history_xgb,6,Burundi,0,0,3,54,57,0.0,,0.0
binary_history_xgb,6,Cabo Verde,0,1,0,37,38,0.0,0.0,
binary_history_xgb,6,Cameroon,25,23,26,184,258,0.5050505050505051,0.5208333333333334,0.49019607843137253
binary_history_xgb,6,Central African Republic,538,136,133,118,925,0.8,0.798219584569733,0.8017883755588674
binary_history_xgb,6,Chad,18,36,48,243,345,0.3,0.3333333333333333,0.2727272727272727
binary_history_xgb,6,"Congo, The Democratic Republic of the",212,136,143,334,825,0.6031294452347084,0.6091954022988506,0.5971830985915493
binary_history_xgb,6,Côte d'Ivoire,0,1,1,153,155,0.0,0.0,0.0
binary_history_xgb,6,Djibouti,22,12,10,28,72,0.6666666666666666,0.6470588235294118,0.6875
binary_history_xgb,6,Dominican Republic,4,6,22,55,87,0.2222222222222222,0.4,0.15384615384615385
binary_history_xgb,6,El Salvador,1,10,11,35,57,0.08695652173913043,0.09090909090909091,0.08333333333333333
binary_history_xgb,6,Eswatini,9,7,2,14,32,0.6666666666666666,0.5625,0.8181818181818182
binary_history_xgb,6,Ethiopia,34,19,10,11,74,0.7010309278350515,0.6415094339622641,0.7727272727272727
binary_history_xgb,6,Gambia,0,1,0,31,32,0.0,0.0,
binary_history_xgb,6,Ghana,15,27,30,193,265,0.3448275862068966,0.35714285714285715,0.3333333333333333
