horizon_months,n,mae,rmse,raw_below_zero,raw_above_one,fixed_rule_f1,fixed_rule_tp,fixed_rule_fp,fixed_rule_fn
1,16002,0.09341295704408888,0.1293056203440792,0,0,0.7022635745035412,5057,3400,888
3,15907,0.0945919232325827,0.12754509969077218,0,1,0.6858324439701174,5141,3964,746
6,14960,0.09175733168743426,0.12543889417199702,0,0,0.6869026683997248,4492,3213,882
12,12404,0.10208964504067372,0.13905894629421764,0,0,0.6695573622402891,3706,2784,874
