method,horizon_months,target_year,tp,fp,fn,tn,n,f1,precision,recall
binary_history_xgb,1,2023,747,225,287,1429,2688,0.744765702891326,0.7685185185185185,0.7224371373307543
binary_history_xgb,1,2024,788,291,331,2316,3726,0.7170154686078253,0.7303058387395737,0.7042001787310098
binary_history_xgb,1,2025,2645,1626,1147,4170,9588,0.6560833436686097,0.6192929056427067,0.6975210970464135
binary_history_xgb,3,2023,700,216,281,1404,2601,0.7380073800738007,0.7641921397379913,0.7135575942915392
binary_history_xgb,3,2024,785,291,334,2316,3726,0.715261958997722,0.7295539033457249,0.7015192135835567
binary_history_xgb,3,2025,2635,1666,1152,4127,9580,0.6515825914935707,0.6126482213438735,0.695801425930816
binary_history_xgb,6,2023,412,124,116,1215,1867,0.7744360902255639,0.7686567164179104,0.7803030303030303
binary_history_xgb,6,2024,742,332,363,2210,3647,0.6810463515374025,0.6908752327746741,0.6714932126696832
binary_history_xgb,6,2025,2588,1581,1153,4124,9446,0.6543615676359039,0.6207723674742145,0.6917936380646886
binary_history_xgb,12,2024,574,241,395,2014,3224,0.6434977578475336,0.7042944785276074,0.5923632610939112
binary_history_xgb,12,2025,2714,1620,897,3949,9180,0.6831969792322216,0.6262113520996769,0.7515923566878981
correction_xgb,1,2023,746,219,288,1435,2688,0.7463731865932967,0.7730569948186529,0.7214700193423598
correction_xgb,1,2024,788,291,331,2316,3726,0.7170154686078253,0.7303058387395737,0.7042001787310098
correction_xgb,1,2025,2641,1603,1151,4193,9588,0.6572921851667496,0.6222902921771913,0.6964662447257384
correction_xgb,3,2023,702,214,279,1406,2601,0.7401159725882973,0.7663755458515283,0.7155963302752294
correction_xgb,3,2024,787,268,332,2339,3726,0.7240110395584176,0.7459715639810427,0.7033065236818588
correction_xgb,3,2025,2618,1632,1169,4161,9580,0.6514868732113973,0.616,0.6913123844731978
correction_xgb,6,2023,418,120,110,1219,1867,0.7842401500938087,0.7769516728624535,0.7916666666666666
correction_xgb,6,2024,772,352,333,2190,3647,0.6926873037236428,0.6868327402135231,0.6986425339366515
correction_xgb,6,2025,2604,1599,1137,4106,9446,0.6555891238670695,0.6195574589578873,0.6960705693664796
correction_xgb,12,2024,571,237,398,2018,3224,0.642656162070906,0.7066831683168316,0.5892672858617131
correction_xgb,12,2025,2710,1607,901,3962,9180,0.6836528758829465,0.6277507528376187,0.7504846302963168
fullpool_xgb,1,2023,822,258,212,1396,2688,0.7776726584673604,0.7611111111111111,0.7949709864603481
fullpool_xgb,1,2024,822,397,297,2210,3726,0.7031650983746792,0.6743232157506153,0.7345844504021448
fullpool_xgb,1,2025,2941,2019,851,3777,9588,0.6720749542961609,0.5929435483870967,0.7755801687763713
fullpool_xgb,3,2023,711,209,270,1411,2601,0.7480273540241978,0.7728260869565218,0.7247706422018348
fullpool_xgb,3,2024,825,328,294,2279,3726,0.7262323943661971,0.7155247181266262,0.7372654155495979
fullpool_xgb,3,2025,2726,1774,1061,4019,9580,0.6578979123929045,0.6057777777777777,0.7198310007921838
fullpool_xgb,6,2023,421,123,107,1216,1867,0.7854477611940298,0.7738970588235294,0.7973484848484849
fullpool_xgb,6,2024,789,391,316,2151,3647,0.6905908096280088,0.6686440677966101,0.714027149321267
fullpool_xgb,6,2025,2923,2001,818,3704,9446,0.67466820542412,0.5936230706742486,0.7813418871959369
fullpool_xgb,12,2024,606,312,363,1943,3224,0.6422893481717011,0.6601307189542484,0.6253869969040248
fullpool_xgb,12,2025,3080,2266,531,3303,9180,0.6877302668304119,0.5761316872427984,0.8529493215175852
persistence,1,2023,747,225,287,1429,2688,0.744765702891326,0.7685185185185185,0.7224371373307543
persistence,1,2024,788,291,331,2316,3726,0.7170154686078253,0.7303058387395737,0.7042001787310098
persistence,1,2025,2645,1628,1147,4168,9588,0.6559206447613143,0.6190030423589984,0.6975210970464135
persistence,3,2023,705,223,276,1397,2601,0.7386066003143007,0.759698275862069,0.7186544342507645
persistence,3,2024,788,291,331,2316,3726,0.7170154686078253,0.7303058387395737,0.7042001787310098
persistence,3,2025,2641,1681,1146,4112,9580,0.651375015414971,0.6110596945858399,0.6973857935040929
persistence,6,2023,417,127,111,1212,1867,0.7779850746268657,0.7665441176470589,0.7897727272727273
persistence,6,2024,746,333,359,2209,3647,0.6831501831501832,0.6913809082483782,0.6751131221719457
persistence,6,2025,2588,1581,1153,4124,9446,0.6543615676359039,0.6207723674742145,0.6917936380646886
persistence,12,2024,574,241,395,2014,3224,0.6434977578475336,0.7042944785276074,0.5923632610939112
persistence,12,2025,2714,1620,897,3949,9180,0.6831969792322216,0.6262113520996769,0.7515923566878981
rich_direct_xgb,1,2023,722,204,312,1450,2688,0.736734693877551,0.7796976241900648,0.6982591876208898
rich_direct_xgb,1,2024,766,249,353,2358,3726,0.717900656044986,0.7546798029556651,0.6845397676496873
rich_direct_xgb,1,2025,2610,1513,1182,4283,9588,0.6595072646873026,0.6330341983992238,0.6882911392405063
rich_direct_xgb,3,2023,683,200,298,1420,2601,0.7328326180257511,0.7734994337485843,0.6962283384301733
rich_direct_xgb,3,2024,781,252,338,2355,3726,0.7258364312267658,0.7560503388189739,0.6979445933869526
rich_direct_xgb,3,2025,2626,1645,1161,4148,9580,0.6517746339041945,0.6148442987590729,0.6934248745709004
rich_direct_xgb,6,2023,405,110,123,1229,1867,0.7766059443911792,0.7864077669902912,0.7670454545454546
rich_direct_xgb,6,2024,714,291,391,2251,3647,0.6767772511848341,0.7104477611940299,0.6461538461538462
rich_direct_xgb,6,2025,2566,1557,1175,4148,9446,0.6525940996948117,0.6223623575066699,0.685912857524726
rich_direct_xgb,12,2024,581,281,388,1974,3224,0.6346258874931732,0.6740139211136891,0.5995872033023736
rich_direct_xgb,12,2025,2842,1908,769,3661,9180,0.6798229876808994,0.5983157894736842,0.787039601218499
rich_rf,1,2023,744,210,290,1444,2688,0.7484909456740443,0.779874213836478,0.7195357833655706
rich_rf,1,2024,800,319,319,2288,3726,0.7149240393208222,0.7149240393208222,0.7149240393208222
rich_rf,1,2025,2672,1567,1120,4229,9588,0.6654214917195866,0.6303373437131399,0.7046413502109705
rich_rf,3,2023,699,211,282,1409,2601,0.7392913802221047,0.7681318681318682,0.7125382262996942
rich_rf,3,2024,802,313,317,2294,3726,0.7179946284691137,0.7192825112107624,0.7167113494191242
rich_rf,3,2025,2740,1650,1047,4143,9580,0.6701724348783172,0.6241457858769932,0.7235278584631635
rich_rf,6,2023,414,121,114,1218,1867,0.7789275634995296,0.7738317757009345,0.7840909090909091
rich_rf,6,2024,792,367,313,2175,3647,0.6996466431095406,0.6833477135461605,0.7167420814479638
rich_rf,6,2025,2794,1694,947,4011,9446,0.6790618544173046,0.6225490196078431,0.7468591285752473
rich_rf,12,2024,602,309,367,1946,3224,0.6404255319148936,0.6608122941822173,0.6212590299277606
rich_rf,12,2025,2999,2132,612,3437,9180,0.6861130176161061,0.5844864548820893,0.8305178620880642
share_xgb,1,2023,726,202,308,1452,2688,0.7400611620795107,0.7823275862068966,0.7021276595744681
share_xgb,1,2024,786,260,333,2347,3726,0.7260969976905312,0.751434034416826,0.7024128686327078
share_xgb,1,2025,2622,1562,1170,4234,9588,0.6574724172517553,0.6266730401529637,0.6914556962025317
share_xgb,3,2023,697,206,284,1414,2601,0.7399150743099787,0.7718715393133998,0.7104994903160041
share_xgb,3,2024,808,290,311,2317,3726,0.7289129454217411,0.7358834244080146,0.7220732797140303
share_xgb,3,2025,2686,1723,1101,4070,9580,0.6554416788677404,0.6092084372873667,0.7092685503036704
